"pontoId","lat","lon","pathBTS1","pathBTS2","pathBTS3","pathBTS4","pathBTS5","pathBTS6","taBTS1","taBTS2","taBTS3","taBTS4","taBTS5","taBTS6"
1578,-8.069616,-34.894836,653.594803380995,123.923333333333,122.19,119.923333333333,108.19,109.69,0,1,2,1,1,1
1726,-8.069243,-34.888069,126.156666666667,133.39,131.656666666667,123.956666666667,113.356666666667,133.656666666667,0,1,4,1,0,1
1742,-8.069219,-34.900562,129.99,128.49,118.94,124.34,132.04,119.69,1,1,2,1,2,1
2041,-8.068377,-34.890717,127.723333333333,132.456666666667,134.856666666667,115.256666666667,96.19,124.656666666667,0,1,3,1,0,1
1970,-8.068587,-34.897018,112.923333333333,114.423333333333,116.423333333333,103.69,122.923333333333,110.823333333333,0,1,2,1,1,0
2477,-8.065628,-34.892662,137.623333333333,124.09,123.356666666667,128.623333333333,115.823333333333,116.69,0,2,3,2,0,0
2100,-8.068026,-34.890564,126.756666666667,132.39,135.656666666667,121.223333333333,102.256666666667,121.79,0,1,3,1,0,1
285,-8.076082,-34.899818,124.59,102.656666666667,124.623333333333,128.29,135.256666666667,138.39,2,1,1,1,2,2
1545,-8.069702,-34.89806,103.19,119.456666666667,118.89,110.023333333333,119.623333333333,102.423333333333,1,1,2,1,1,1
694,-8.073581,-34.897671,115.94,100.54,93.19,99.94,127.84,134.44,1,0,2,0,2,1
1339,-8.070419,-34.893299,98.69,120.723333333333,121.89,105.656666666667,104.99,108.99,0,1,3,1,1,1
1913,-8.068716,-34.897636,105.423333333333,113.356666666667,114.156666666667,104.29,130.956666666667,101.49,0,1,2,1,1,1
453,-8.07521,-34.892113,116.223333333333,126.956666666667,127.923333333333,96.79,121.89,137.723333333333,1,0,3,0,1,2
1911,-8.068727,-34.889603,130.39,135.223333333333,139.556666666667,117.956666666667,106.923333333333,617.820472400905,0,1,3,1,0,1
1128,-8.071367,-34.891891,103.723333333333,116.723333333333,128.056666666667,97.1233333333333,102.99,132.09,0,1,3,1,1,1
904,-8.072575,-34.896355,108.69,118.14,119.84,107.89,118.39,140.99,1,0,2,0,1,1
1667,-8.069393,-34.889519,126.14,134.39,131.715,115.815,101.415,130.94,0,1,3,1,0,1
388,-8.075513,-34.893074,120.59,122.056666666667,125.956666666667,104.79,132.023333333333,136.69,1,0,2,0,2,2
2710,-8.063748,-34.893967,136.04,115.69,131.84,138.04,134.34,118.09,0,2,3,2,1,0
1899,-8.068761,-34.889,119.79,133.156666666667,133.19,123.623333333333,100.29,124.223333333333,0,1,4,1,0,1
1352,-8.070368,-34.896942,106.723333333333,116.123333333333,120.556666666667,103.223333333333,117.756666666667,121.89,0,1,2,1,1,1
290,-8.076043,-34.899834,123.256666666667,116.256666666667,120.59,132.89,134.423333333333,137.023333333333,2,1,1,1,2,2
607,-8.074183,-34.890305,91.79,131.49,123.956666666667,114.923333333333,113.656666666667,132.223333333333,1,0,3,0,1,2
2706,-8.063772,-34.897038,126.19,109.99,126.34,116.39,126.14,112.49,1,11.2182147025965,3,2,1,0
937,-8.072496,-34.896748,112.056666666667,106.256666666667,113.223333333333,90.89,114.89,131.423333333333,1,0,2,0,1,1
778,-8.073058,-34.896587,96.09,96.6233333333333,122.856666666667,95.7233333333333,127.856666666667,130.423333333333,1,0,2,0,2,1
2102,-8.068021,-34.890598,126.156666666667,130.79,134.79,121.856666666667,95.1233333333333,127.523333333333,0,1,3,1,0,1
1115,-8.071483,-34.90078,121.156666666667,118.223333333333,118.123333333333,115.256666666667,136.556666666667,124.923333333333,1,1,1,1,2,1
90,-8.077169,-34.898254,115.69,87.49,126.056666666667,123.756666666667,128.756666666667,135.023333333333,2,0,1,0,2,2
1527,-8.069755,-34.897926,99.0566666666667,116.89,117.09,109.69,123.856666666667,98.9566666666667,1,1,2,1,1,1
772,-8.073093,-34.896294,99.9233333333333,115.09,123.59,105.256666666667,122.056666666667,123.423333333333,1,0,2,0,1,1
486,-8.074915,-34.893559,108.49,117.59,126.94,96.09,121.94,128.49,1,0,2,0,1,2
1413,-8.070068,-34.889511,120.14,123.715,132.165,106.815,102.465,136.04,0,1,3,1,0,1
953,-8.072479,-34.892586,106.156666666667,123.123333333333,121.323333333333,102.556666666667,107.19,116.356666666667,0,0,3,0,1,1
2704,-8.063784,-34.886051,119.023333333333,132.156666666667,137.59,128.923333333333,142.256666666667,141.923333333333,1,2,5,2,0,1
1638,-8.069475,-34.896446,107.29,99.4566666666667,112.256666666667,88.1566666666667,120.59,116.79,0,1,2,1,1,1
522,-8.074603,-34.900303,120.99,109.923333333333,104.423333333333,126.89,141.356666666667,135.29,1,1,1,1,2,2
2839,-8.062417,-34.887726,132.756666666667,135.256666666667,140.19,139.59,138.723333333333,146.79,1,3,4,3,0,1
1441,-8.069989,-34.896049,93.2233333333333,120.623333333333,117.423333333333,105.556666666667,117.29,117.99,0,1,2,1,1,1
1418,-8.070053,-34.897274,99.3233333333333,117.623333333333,118.856666666667,112.623333333333,117.956666666667,103.456666666667,0,1,2,1,1,1
1712,-8.069275,-34.895504,104.656666666667,122.456666666667,116.523333333333,107.523333333333,112.39,122.99,0,1,2,1,1,0
2101,-8.068022,-34.890579,126.823333333333,131.69,133.923333333333,123.923333333333,102.056666666667,126.69,0,1,3,1,0,1
2016,-8.068488,-34.897305,104.19,118.54,117.79,112.14,123.44,101.89,0,1,2,1,1,0
514,-8.074656,-34.900253,117.99,117.19,101.556666666667,127.623333333333,138.323333333333,139.79,1,1,1,1,2,2
2774,-8.063289,-34.886677,130.556666666667,137.656666666667,141.59,135.723333333333,140.323333333333,147.69,1,3,5,3,0,1
2006,-8.068521,-34.896652,100.023333333333,122.356666666667,119.056666666667,115.823333333333,125.056666666667,294.765145525979,0,1,2,1,1,0
460,-8.07516,-34.893482,110.49,115.99,121.24,98.69,117.89,132.34,1,0,2,0,2,2
1677,-8.069362,-34.90062,124.223333333333,121.756666666667,124.756666666667,122.923333333333,132.29,121.323333333333,1,1,2,1,2,1
1900,-8.06876,-34.889034,122.615,132.715,127.69,122.64,101.965,125.79,0,1,4,1,0,1
2421,-8.065802,-34.890091,132.09,131.723333333333,136.956666666667,132.623333333333,104.823333333333,130.723333333333,0,NA,4,2,0,0
196,-8.076431,-34.895622,118.056666666667,92.5566666666667,130.89,112.456666666667,128.456666666667,136.29,1,0,2,0,2,2
345,-8.075758,-34.896198,116.056666666667,111.59,126.856666666667,128.256666666667,128.756666666667,133.19,1,0,2,0,2,2
2592,-8.064694,-34.8895,133.89,125.09,130.515,130.74,118.59,139.74,0,2,4,2,0,1
1620,-8.069521,-34.900684,120.44,133.49,122.99,129.49,128.99,119.69,1,1,2,1,2,1
1495,-8.069849,-34.895947,NA,123.556666666667,113.856666666667,109.69,125.356666666667,119.49,0,1,2,1,1,1
390,-8.075501,-34.896278,114.923333333333,120.19,129.056666666667,124.256666666667,128.723333333333,133.123333333333,1,0,2,0,2,2
433,-8.075366,-34.892639,119.156666666667,131.823333333333,126.723333333333,108.123333333333,132.223333333333,140.79,1,0,3,0,2,2
468,-8.075089,-34.891739,121.79,124.79,127.69,95.9233333333333,131.323333333333,137.056666666667,1,0,3,0,1,2
1626,-8.069509,-34.890896,463.180480881916,132.69,127.89,122.14,113.29,126.49,0,1,3,1,0,1
1947,-8.068645,-34.88958,119.49,127.323333333333,135.256666666667,113.156666666667,106.59,138.423333333333,0,1,4,1,0,1
427,-8.07541,-34.892776,115.756666666667,126.69,128.923333333333,106.923333333333,120.923333333333,141.856666666667,1,0,3,0,2,2
1653,-8.069434,-34.895256,101.64,123.29,123.74,114.64,115.09,110.69,0,1,2,1,1,0
2195,-8.067083,-34.893871,115.623333333333,133.056666666667,130.723333333333,122.623333333333,126.423333333333,112.056666666667,0,1,3,1,0,0
1637,-8.069477,-34.898659,112.556666666667,110.956666666667,114.99,116.223333333333,114.423333333333,104.59,1,1,2,1,1,1
2244,-8.066833,-34.896381,112.156666666667,115.59,119.956666666667,117.69,132.09,87.5233333333333,0,1,3,1,1,0
1959,-8.068609,-34.889317,122.623333333333,132.89,133.723333333333,124.923333333333,102.423333333333,133.656666666667,0,1,4,1,0,1
631,-8.07403,-34.899361,120.89,101.39,97.6233333333333,116.79,133.323333333333,133.99,1,1,1,1,2,2
814,-8.072906,-34.896633,104.432857142857,108.804285714286,119.918571428571,99.7757142857143,122.29,125.59,1,0,2,0,2,1
274,-8.076149,-34.89608,118.89,112.09,127.69,127.69,126.89,135.24,1,0,2,0,2,2
1713,-8.069274,-34.895515,NA,116.59,121.89,99.29,113.79,118.423333333333,0,1,2,1,1,0
1026,-8.07216,-34.892269,109.54,130.19,119.94,110.99,94.69,130.39,0,0,3,0,1,1
443,-8.075289,-34.892365,113.856666666667,125.59,126.39,100.523333333333,124.756666666667,140.923333333333,1,0,3,0,1,2
1345,-8.070399,-34.890694,110.19,115.39,117.49,103.456666666667,87.09,124.623333333333,0,1,3,1,0,1
794,-8.072952,-34.890656,108.74,127.34,124.04,104.49,113.34,134.54,1,0,3,0,1,1
1147,-8.07124,-34.891857,100.29,119.39,125.54,96.49,109.79,133.09,0,1,3,1,1,1
898,-8.072586,-34.900673,112.59,116.29,126.74,119.14,140.44,129.09,1,1,1,1,2,2
