pontoId	lat	lon	lat_pred	lon_pred	erro_loc
397	-8.075475	-34.89629	-8.07552625336	-34.896243729	7.64392073487
792	-8.072956	-34.896622	-8.07293426307	-34.896610341	2.73671841522
864	-8.072692	-34.896423	-8.07275358947	-34.89641204	6.95391992768
717	-8.073347	-34.900574	-8.07335859327	-34.9003343338	26.4170126528
2826	-8.062634	-34.888382	-8.0633505853	-34.888706508	87.3236509433
1902	-8.068755	-34.896584	-8.06863444491	-34.896588861	13.4157933505
1897	-8.068772	-34.896198	-8.06895831939	-34.8957950762	48.9591106432
2896	-8.061419	-34.903168	-8.06139877102	-34.9031918461	3.4571919543
2524	-8.065285	-34.897007	-8.06526421135	-34.8969926402	2.80050671423
2597	-8.064639	-34.885124	-8.0646854059	-34.8851628967	6.70559891808
1573	-8.06963	-34.890667	-8.0697013517	-34.8907513968	12.2180540953
2465	-8.065699	-34.892563	-8.06566800254	-34.8927214832	17.7853870406
1266	-8.070676	-34.890694	-8.0699717578	-34.8907712774	78.76896444
1793	-8.069065	-34.889584	-8.06913504121	-34.889598847	7.95790730159
2055	-8.068291	-34.889973	-8.06864597889	-34.8902197338	47.91563367
2845	-8.062389	-34.887772	-8.06226870048	-34.8880328072	31.6767759011
2215	-8.06698	-34.895916	-8.06675415837	-34.8954183179	60.2728177934
2316	-8.066339	-34.901146	-8.06647418867	-34.9013221742	24.5391362315
703	-8.073478	-34.897293	-8.07344443578	-34.8973459176	6.91878864834
401	-8.075468	-34.900024	-8.07553936821	-34.899678337	38.8734766259
1103	-8.071583	-34.891937	-8.07148823752	-34.8920083545	13.1431323061
204	-8.076424	-34.89576	-8.07658753682	-34.8966464537	99.2712038885
1600	-8.06957	-34.890755	-8.0696306668	-34.8908640165	13.7679152769
205	-8.076423	-34.895969	-8.07638404699	-34.8958739843	11.3217658926
767	-8.073116	-34.896343	-8.07306119028	-34.8964852941	16.8093418452
585	-8.074253	-34.893768	-8.07121760913	-34.8932221888	342.827369752
2549	-8.065039	-34.885593	-8.06508171085	-34.8854362578	17.898154126
338	-8.075804	-34.893963	-8.07583048222	-34.8941699227	22.9701049109
850	-8.072744	-34.900646	-8.07286019657	-34.9006368702	12.9595061966
1140	-8.07129	-34.900772	-8.07145899856	-34.9007753737	18.7954522967
85	-8.077207	-34.898354	-8.07719823913	-34.8983082716	5.12771196456
967	-8.072442	-34.893211	-8.07078765792	-34.8928518291	188.156408016
508	-8.074692	-34.890453	-8.07464904902	-34.8903219766	15.1947821517
1672	-8.06938	-34.895271	-8.06941237947	-34.8951753202	11.1320833526
317	-8.075912	-34.899895	-8.07589290737	-34.8999022766	2.26911855196
2475	-8.065649	-34.892643	-8.06559581818	-34.8931684136	58.1468931289
2788	-8.063125	-34.888653	-8.06348956992	-34.8887720582	42.6048092197
13	-8.077538	-34.899231	-8.07751308125	-34.8991690079	7.36584968977
1766	-8.069142	-34.895718	-8.06928911062	-34.8954782477	31.0530899935
521	-8.074609	-34.890228	-8.07467483615	-34.8903771502	17.9782856837
1032	-8.072118	-34.892258	-8.07114083108	-34.8936055895	183.894142985
327	-8.07587	-34.89415	-8.07545894502	-34.8947068417	76.467810985
2546	-8.065062	-34.885666	-8.06508171085	-34.8854362578	25.3882835405
961	-8.072455	-34.894058	-8.07267317251	-34.8934051311	75.8600205129
2148	-8.067505	-34.890297	-8.0681813632	-34.8902493789	75.3906752186
562	-8.074381	-34.900349	-8.07434710265	-34.9003108773	5.64109907824
1164	-8.071122	-34.896942	-8.07109274341	-34.8969311351	3.46612235709
41	-8.077416	-34.898849	-8.07737932173	-34.8988558753	4.1480802568
2028	-8.068456	-34.889595	-8.06844230374	-34.8896134609	2.53972160538
2235	-8.066892	-34.901016	-8.06698825887	-34.9009795196	11.432211493
1561	-8.069659	-34.894741	-8.06961837012	-34.8947977119	7.70673564645
2436	-8.065794	-34.890148	-8.06561317269	-34.8906438793	58.1788528121
2952	-8.059344	-34.906822	-8.05946600907	-34.906651541	23.157222667
1544	-8.069706	-34.894642	-8.0698331479	-34.895096568	52.0038981524
2177	-8.067168	-34.894035	-8.06702296722	-34.8938750556	23.8779065696
2571	-8.064897	-34.885162	-8.06482923032	-34.8852116756	9.31109170211
10	-8.07754	-34.899231	-8.07751308125	-34.8991690079	7.45235610515
2488	-8.065564	-34.896988	-8.06549887007	-34.8970111691	7.67820774204
1700	-8.069302	-34.895458	-8.06929271032	-34.8955135309	6.20026846946
1779	-8.069114	-34.888294	-8.06882914058	-34.8885709557	43.9660403393
1822	-8.068971	-34.895992	-8.06891542411	-34.8956721761	35.7488996164
1894	-8.068781	-34.897381	-8.06871676016	-34.8971751572	23.7612037419
678	-8.073722	-34.89817	-8.07350592763	-34.8975217144	75.3070951743
2544	-8.065085	-34.885742	-8.06508171085	-34.8854362578	33.6627173298
618	-8.074113	-34.899719	-8.07412810752	-34.8996612082	6.58048969651
902	-8.072577	-34.891518	-8.07263692516	-34.8915403688	7.10388476261
1483	-8.069884	-34.900814	-8.06986712046	-34.9005952287	24.1583968382
1818	-8.068977	-34.897396	-8.06909106683	-34.8973787727	12.8246725811
900	-8.072582	-34.891403	-8.07237189553	-34.8920513693	75.1069674249
392	-8.075497	-34.893036	-8.07434210283	-34.8948274519	235.349097689
1011	-8.072261	-34.892288	-8.07112574613	-34.8935859908	190.671423212
1994	-8.068561	-34.896572	-8.06861549242	-34.896676549	13.0077101626
804	-8.072929	-34.896629	-8.07290987774	-34.8966153571	2.60328848709
106	-8.077058	-34.899471	-8.07700579581	-34.8995019107	6.72879803409
342	-8.075788	-34.893932	-8.07551771091	-34.8946891365	88.6076949982
27	-8.077481	-34.899342	-8.0775095771	-34.8993286096	3.50293083761
780	-8.073048	-34.89064	-8.07308682137	-34.8906033844	5.90627993579
777	-8.073061	-34.896591	-8.07310693611	-34.8965541249	6.52466985644
983	-8.072402	-34.893658	-8.07312685182	-34.892483252	152.390919435
2856	-8.062366	-34.887783	-8.06216907662	-34.8881229474	43.3617334976
2868	-8.062234	-34.887959	-8.06214687726	-34.8881347668	21.6406831956
599	-8.07422	-34.900372	-8.07430154561	-34.9002929427	12.5686855376
943	-8.072493	-34.89677	-8.07228706158	-34.896462054	40.9117873114
2443	-8.065791	-34.89053	-8.06564119117	-34.8908647712	40.44624362
2567	-8.064939	-34.885262	-8.06497918883	-34.8851945247	8.66924171148
2810	-8.062831	-34.897293	-8.06283133299	-34.8972854508	0.831957900078
2010	-8.068506	-34.889534	-8.06846572526	-34.8895720626	6.13316229415
1506	-8.069822	-34.894421	-8.0700423105	-34.8941432231	39.1835752805
518	-8.074629	-34.890263	-8.07469324728	-34.890425176	19.2305708753
545	-8.074485	-34.890167	-8.07445447559	-34.890135528	4.85029958059
2354	-8.066019	-34.896519	-8.06601594258	-34.8964740904	4.95599144501
1725	-8.069245	-34.888062	-8.06924711455	-34.8884003388	37.2498132518
1681	-8.069356	-34.896477	-8.06933555887	-34.8965474474	8.08202926569
2822	-8.06272	-34.901363	-8.06276092249	-34.9013719692	4.65628558531
2062	-8.068241	-34.890022	-8.06821608463	-34.8900106977	3.03706850366
988	-8.072384	-34.892155	-8.07140271885	-34.8936328824	195.904680343
2077	-8.06813	-34.890324	-8.0682504906	-34.8906878009	42.2338670219
2761	-8.063416	-34.886486	-8.06378305284	-34.886854401	57.5401936196
862	-8.072694	-34.895016	-8.07267649029	-34.8949049438	12.3805678744
1436	-8.070002	-34.894081	-8.06982863722	-34.8941201867	19.7539257471
1005	-8.072288	-34.900692	-8.07221168739	-34.9007081353	8.66951629754
732	-8.07323	-34.896503	-8.07319261112	-34.8964765572	5.07536076967
1095	-8.071661	-34.897163	-8.0718200857	-34.8971040645	18.8419390638
765	-8.073125	-34.89629	-8.07327890962	-34.8965733522	35.5811863278
1478	-8.069902	-34.890251	-8.06980794611	-34.8905515409	34.7011893902
981	-8.072404	-34.892338	-8.07135681261	-34.8936892255	188.914034212
2455	-8.065775	-34.887829	-8.06563642712	-34.8883314944	57.4278669435
2913	-8.060903	-34.905018	-8.06087432895	-34.9050205407	3.20032285735
952	-8.07248	-34.894154	-8.07270862132	-34.8941546733	25.4216390987
1998	-8.068559	-34.896652	-8.06873214029	-34.896666079	19.3146180688
280	-8.076112	-34.894768	-8.07613722893	-34.8952169749	49.5081497305
2326	-8.066256	-34.889378	-8.0661838528	-34.8893418252	8.95659073397
1831	-8.068939	-34.90004	-8.06890177894	-34.9001613081	13.9819089642
2192	-8.067104	-34.892494	-8.06715206151	-34.8925656839	9.53122051148
679	-8.073715	-34.900509	-8.07358830649	-34.9003177224	25.3360219131
1575	-8.069619	-34.894821	-8.06962912275	-34.8947498112	7.91786509472
2494	-8.065516	-34.886932	-8.06520348005	-34.8878349551	105.309697629
199	-8.076427	-34.895897	-8.07636954546	-34.8958078583	11.7100572587
1361	-8.070323	-34.897076	-8.07023846111	-34.8968159762	30.1308785701
1984	-8.068571	-34.896629	-8.06874851583	-34.8968170673	28.6063659506
1084	-8.071762	-34.897224	-8.07195495611	-34.8969187505	39.8711285944
2290	-8.066569	-34.896854	-8.06678622754	-34.8967050958	29.192356666
101	-8.077086	-34.899464	-8.07710091858	-34.8994706249	1.81212422615
897	-8.072587	-34.894554	-8.07265963847	-34.8935910782	106.318279634
1191	-8.070948	-34.895863	-8.07083224811	-34.8958152779	13.9020393007
1282	-8.070623	-34.896149	-8.07067211535	-34.8961313638	5.79625470397
2461	-8.065721	-34.887669	-8.06572770298	-34.8875534456	12.7437762849
2600	-8.064588	-34.894279	-8.06450832127	-34.8942651139	8.99080233179
2850	-8.062376	-34.887779	-8.06227132438	-34.8880322157	30.2102486877
1467	-8.06993	-34.897552	-8.06991212528	-34.8977671289	23.7676147584
1134	-8.071316	-34.900764	-8.07144554071	-34.9007041697	15.8388939173
1508	-8.069818	-34.900791	-8.06967739062	-34.9005696961	28.9494261662
1195	-8.070925	-34.891781	-8.07106869814	-34.8919026741	20.8507271422
144	-8.076776	-34.896996	-8.07651203555	-34.8962011997	92.2927996026
1172	-8.071087	-34.891975	-8.07103097252	-34.8919796496	6.25096661307
595	-8.074224	-34.890263	-8.07424616224	-34.8901914088	8.25793732171
1030	-8.072129	-34.890697	-8.07147918153	-34.8916574623	128.070491041
153	-8.076695	-34.896812	-8.07675779367	-34.8969535156	17.0728135682
2715	-8.063723	-34.889008	-8.06387789615	-34.8889976394	17.261395312
2772	-8.0633	-34.888748	-8.06327782	-34.8886560754	10.4166743812
2095	-8.06803	-34.890556	-8.06801923336	-34.8905258779	3.52575134248
1810	-8.069011	-34.899857	-8.06919461887	-34.8992986019	64.7781606129
2758	-8.063472	-34.888851	-8.06348493271	-34.8887713819	8.88278311109
1973	-8.068585	-34.889366	-8.06846572525	-34.8895720626	26.2786736948
353	-8.075722	-34.893696	-8.07506895288	-34.8948675377	148.014057481
918	-8.072545	-34.890686	-8.07181806315	-34.8911515112	95.7093809035
2193	-8.0671	-34.894257	-8.06672388406	-34.8942158013	42.0674244797
648	-8.073894	-34.893867	-8.07117236486	-34.8932538901	310.068182255
2023	-8.068474	-34.889595	-8.06844230374	-34.8896134609	4.06849288958
1805	-8.069023	-34.895912	-8.06901802007	-34.8958200167	10.1419448686
2635	-8.064201	-34.893661	-8.06430538603	-34.8938855385	27.3100234395
761	-8.073151	-34.90062	-8.07305590274	-34.9005763546	11.6148612199
2413	-8.065808	-34.890656	-8.06567642837	-34.8911725937	58.7259113087
1072	-8.071871	-34.897263	-8.07173839297	-34.8972078083	15.9481163514
2283	-8.066616	-34.895149	-8.06682022877	-34.8952828057	27.0687842841
1063	-8.071929	-34.892223	-8.0710994941	-34.8935678613	174.440524115
355	-8.075703	-34.899944	-8.07556813089	-34.9000014936	16.2777978786
1543	-8.069708	-34.890701	-8.06974812486	-34.8907215682	5.00342668198
130	-8.07688	-34.899559	-8.07663296221	-34.8996598461	29.6281474752
987	-8.072389	-34.892269	-8.07146439819	-34.8935485009	174.392944803
238	-8.076325	-34.895397	-8.07637644249	-34.8959431337	60.3964797853
1896	-8.068773	-34.889618	-8.06867056481	-34.8898094986	23.963015096
1738	-8.069224	-34.895569	-8.06925111299	-34.8955367414	4.65855570659
2053	-8.068306	-34.899513	-8.0686738806	-34.8991649963	56.0467531334
949	-8.072487	-34.900681	-8.07253940915	-34.9006700506	5.95100085927
1844	-8.068906	-34.889633	-8.06870580319	-34.8897767121	27.3107581177
2947	-8.059426	-34.906693	-8.05949387213	-34.9066086931	11.9629293827
1302	-8.070549	-34.896927	-8.07048269961	-34.8968804621	8.97780023431
2797	-8.062985	-34.888584	-8.06327158943	-34.8886722686	33.3161140843
1381	-8.070202	-34.893818	-8.07037908216	-34.8935565184	34.8775074255
1891	-8.068791	-34.888935	-8.06869130944	-34.8889781625	12.0606827657
435	-8.075356	-34.900066	-8.07571627772	-34.8999412529	42.3497629954
2131	-8.067739	-34.892925	-8.06773885265	-34.8929491104	2.65447254632
50	-8.077371	-34.89938	-8.07739392009	-34.8993754755	2.59681766987
2726	-8.063643	-34.896511	-8.06357233606	-34.8960370084	52.7726049793
2827	-8.062628	-34.901375	-8.06246535164	-34.9013810011	18.0977369236
2684	-8.063892	-34.901459	-8.06396705753	-34.9014574218	8.34782444167
547	-8.074483	-34.900295	-8.07455101607	-34.9002833248	7.67148883737
2253	-8.066782	-34.894844	-8.06648752116	-34.8951041124	43.5003830056
1736	-8.069228	-34.899292	-8.06926078044	-34.8991295245	18.2551817959
1407	-8.070095	-34.889843	-8.07007199987	-34.8898649046	3.51517080077
1492	-8.06986	-34.889503	-8.0694151243	-34.8897486227	56.3765997081
1650	-8.069441	-34.900639	-8.06940654257	-34.900624733	4.14094830587
1402	-8.07011	-34.889553	-8.06941444532	-34.8897005142	79.0288498648
2927	-8.060666	-34.905266	-8.06066304365	-34.9052711409	0.65452896573
528	-8.07456	-34.890198	-8.07442073809	-34.8906333716	50.3705295103
576	-8.074295	-34.90033	-8.07429148943	-34.9003005494	3.26571012428
2341	-8.066125	-34.896259	-8.0660995718	-34.8963660387	12.1188676773
2269	-8.066692	-34.893692	-8.06691980985	-34.8936393854	25.9851664786
1632	-8.069491	-34.895054	-8.06944706009	-34.8951257662	9.28968179833
1293	-8.070581	-34.893002	-8.07025641507	-34.8935216105	67.6398875227
2504	-8.065434	-34.886726	-8.06560574463	-34.8871043842	45.826925494
722	-8.073281	-34.900589	-8.07349797798	-34.9005490224	24.5250048898
666	-8.073773	-34.898388	-8.07366656688	-34.8983280874	13.5487842966
299	-8.076002	-34.89444	-8.07625653859	-34.8944646084	28.4327659458
57	-8.077356	-34.898815	-8.07726909251	-34.8985657014	29.0973346465
1876	-8.068832	-34.900352	-8.06882355511	-34.9003301887	2.57836704761
2118	-8.067885	-34.890522	-8.06802699169	-34.8905437537	15.9693646987
1419	-8.070052	-34.893997	-8.07032744822	-34.8935865485	54.5900141813
760	-8.073153	-34.896339	-8.07312845395	-34.8963888216	6.12656895877
1635	-8.069481	-34.889503	-8.06940597209	-34.8894809047	8.69012991068
